Week,Date,Day,Weight,Calories,Macro Split (C/F/P),Protein (g),Workout,Conditioning (cal estimated using apps),Steps,Cal (cond),Cal (walk),Notes,,,,,,,,
1,2020-05-25,M,183.6,1368,44/31/25,101,"FSquat, SPress, BBrow, Bent over BBrow",Jump Rope (600 cal),3834,600,153.36,,,,,,,,,
,2020-05-26,Tu,,2312,31/46/22,131,,Bike (11mi) /600cal,1105,600,44.2,,,,,,,,,
,2020-05-27,W,182.4,2002,41/33/26,131,"Clean, Rpushup, TBarDL, FWalk",,2694,,107.76,,,,,,,,,
,2020-05-28,Th,183,1733,36/36/28,126,"Dip, oblique hold, wrist roller",Jump Rope (600 cal),690,600,27.6,,,,,,,,,
,2020-05-29,F,183,1948,40/30/30,158,"FSquat, SPress, BBrow, Calf Raise",Jump Rope (600 cal),977,600,39.08,,,,,,,,,
,2020-05-30,Sa,182,2212,36/37/27,161,"Dip, Face Pull",,4325,,173,,,,,,,,,
,2020-05-31,Su,181.8,2294,37/37/26,156,,,3351,,134.04,,,,,,,,,
2,2020-06-01,M,181.8,2050,33/42/25,128,"FSquat, SPress, BBrow, Bent over BBrow",Jump Rope (648 cal),994,648,39.76,,,,,,,,,
,2020-06-02,Tu,182.2,1863,49/30/21,103,Standing Calf Raise,Jump Rope (769 cal),1124,769,44.96,,,,,,,,,
,2020-06-03,W,182.2,1949,37/41/22,114,"Clean, TBarDL, FWalk",,971,,38.84,,,,,,,,,
,2020-06-04,Th,182.2,1881,35/37/28,135,,Jump Rope (763 cal),950,763,38,,,,,,,,,
,2020-06-05,F,181,2566,40/39/21,144,,,4447,,177.88,,,,,,,,,
,2020-06-06,Sa,182.2,1848,42/35/23,110,"FSquat, SPress, BBrow, BoBBrow",,955,,38.2,,,,,,,,,
,2020-06-07,Su,181,1772,51/27/21,102,,Jump Rope (756 cal),1103,756,44.12,,,,,,,,,
3,2020-06-08,M,180.8,1981,34/40/26,130,"FSquat, SPress, BBrow, BOBBrow",,3246,,129.84,,,,,,,,,
,2020-06-09,Tu,180.8,1797,44/29/27,124,"Standing Calf Raise, Plank",Jump Rope (753 cal),915,753,36.6,,,,,,,,,
,2020-06-10,W,180.8,2104,37/40/23,126,"C&J+C, TBarDL, FWalk",,3401,,136.04,,,,,,,,,
,2020-06-11,Th,180.8,1714,40/27/33,143,"oblique hold, Rpushup, wrist roller",Jump Rope (686 cal),4246,,169.84,,,,,,,,,
,2020-06-12,F,180.8,2705,40/41/19,122,,,1797,,71.88,,,,,,,,,
,2020-06-13,Sa,,1565,27/35/38,156,"FSquat, SPress, BBrow, BOBBrow",21-15-9 Row cal/AmKBswing/Abmat sit-up,1275,,51,,,,,,,,,
,2020-06-14,Su,181.2,,,,"Standing Calf Raise, Plank",Jump Rope (665 cal),2052,665,82.08,,,,,,,,,
4,2020-06-15,M,179.8,1832,24/43/33,155,"FSquat, SPress, BBrow, BOBBrow",,3350,,134,,,,,,,,,
,2020-06-16,Tu,181.2,1680,40/36/24,106,"Standing Calf Raise, Plank",Jump Rope (666 cal),1416,666,56.64,,,,,,,,,
,2020-06-17,W,180.4,1928,38/35/27,136,"C&J+C, TBarDL, FWalk",,4614,,184.56,,,,,,,,,
,2020-06-18,Th,180.4,1848,40/34/26,125,"Weighted Rpushup, Cable woodchop, wrist roller",Jump Rope (817 cal),692,817,27.68,,,,,,,,,
,2020-06-19,F,,1950,42/44/14,72,,,2865,,114.6,,,,,,,,,
,2020-06-20,Sa,181,2348,34/37/28,178,"FSquat, SPress, BBrow, BOBBrow","Tabata 4x4m: row cal, DB devil press, KB lunge, KB twist",706,,28.24,,,,,,,,,
,2020-06-21,Su,181,2035,33/40/27,139,,Jump Rope (484 cal),500,2488,20,,,,,,,,,
5,2020-06-22,M,180.2,1889,29/44/27,129,"FSquat, SPress, BBrow, BOBBrow","Tabata 4x4m: row cal, DB man maker, AmKBswing, Abmat sit-up",3823,,152.92,,,,,,,,,
,2020-06-23,Tu,179.6,1727,43/27/30,142,"Weighted Rpushup, Kneeling cable crunch, Standing Calf Raise",Jump Rope (452 cal),2981,452,119.24,,,,,,,,,
,2020-06-24,W,179.8,1913,43/30/27,132,"C&J+C, TBarDL",,2375,,95,,,,,,,,,
,2020-06-25,Th,180,1905,46/27/27,135,"Weighted Rpushup, Cable woodchop, wrist roller",,5495,,219.8,,,,,,,,,
,2020-06-26,F,180.8,2009,38/31/31,157,"FSquat, SPress, BBrow, BOBBrow",,7281,,291.24,,,,,,,,,
,2020-06-27,Sa,179.6,1970,41/27/32,159,Single leg calf raise,Jump Rope (1066 cal),5149,1066,205.96,,,,,,,,,
,2020-06-28,Su,179.2,1880,42/29/29,137,,Jump Rope (920 cal),4051,920,162.04,,,,,,,,,
6,2020-06-29,M,,,,,,,10407,0,416.28,,,,,,,,,
,2020-06-30,Tu,178,1702,48/21/31,137,,Jump Rope (600 cal),3106,600,124.24,,,,,,,,,
,2020-07-01,W,178.8,1845,36/37/27,129,,Jump Rope (941 cal),5468,941,218.72,,,,,,,,,
,2020-07-02,Th,178.8,1877,35/30/35,175,TBarDL,Jump Rope (593 cal),1935,593,77.4,,,,,,,,,
,2020-07-03,F,178.8,1810,25/37/38,174,,Jump Rope (631 cal),6387,631,255.48,,,,,,,,,
,2020-07-04,Sa,177.8,1807,31/39/30,139,"FSquat, SPress, BBrow (deload)",Jump Rope (319 cal),6150,319,246,,,,,,,,,
,2020-07-05,Su,177.2,1919,49/34/17,89,,,12700,,508,,,,,,,,,
7,2020-07-06,M,177.4,1791,27/46/26,121,"FSquat, SPress, PPress, BBrow",Jump Rope (435 cal),5984,435,239.36,,,,,,,,,
,2020-07-07,Tu,,1632,53/28/19,87,Weighted RPushup,Jump Rope (592 cal),6049,592,241.96,,,,,,,,,
,2020-07-08,W,176.8,1732,39/30/31,136,TBarDL,,5277,,211.08,,,,,,,,,
,2020-07-09,Th,177.6,1901,49/25/26,129,,Jump Rope (903 cal),6446,903,257.84,,,,,,,,,
,2020-07-10,F,178.4,2100,41/29/30,160,"FSquat, SPress, PPress",Jump Rope (712 cal),5328,712,213.12,,,,,,,,,
,2020-07-11,Sa,178.4,,,,,,9149,,365.96,,,,,,,,,
,2020-07-12,Su,177.8,2187,41/42/17,100,,,10770,,430.8,,,,,,,,,
8,2020-07-13,M,,2009,31/40/29,148,"Weighted RPushup, Pull-up",Jump Rope (705 cal),8160,705,326.4,,,,,,,,,
,2020-07-14,Tu,177.6,1855,42/29/29,137,,Jump Rope (988 cal),2449,988,97.96,,,,,,,,,
,2020-07-15,W,177,2109,39/32/29,156,,,8773,,350.92,,,,,,,,,
,2020-07-16,Th,177,1859,38/32/30,149,,,7274,,290.96,,,,,,,,,
,2020-07-17,F,177.6,2217,37/33/30,172,"C&J, TBarDL",,3136,,125.44,,,,,,,,,
,2020-07-18,Sa,177.8,,,,,,10927,,437.08,,,,,,,,,
,2020-07-19,Su,176.8,2148,43/31/26,145,,,2409,,96.36,,,,,,,,,
9,2020-07-20,M,,1915,46/26/27,134,,,6483,,259.32,,,,,,,,,
,2020-07-21,Tu,,1744,39/32/28,130,Weighted RPushup,Jump Rope (707 cal),4899,707,195.96,,,,,,,,,
,2020-07-22,W,176.8,1742,34/30/60,162,"C&J, TBarDL",,6045,,241.8,,,,,,,,,
,2020-07-23,Th,176,2002,36/35/29,148,,Jump Rope (722 cal),4314,722,172.56,,,,,,,,,
,2020-07-24,F,176.8,1996,38/32/30,162,,,8488,,339.52,,,,,,,,,
,2020-07-25,Sa,,,,,,,7203,,288.12,,,,,,,,,
,2020-07-26,Su,176.8,1931,35/40/25,123,"FSquat, SPress, BBrow",,6886,,275.44,,,,,,,,,
10,2020-07-27,M,176,1873,37/33/30,144,"Weighted RPushup, Chin-ups",Jump Rope (707 cal),3582,707,143.28,,,,,,,,,
,2020-07-28,Tu,175.2,1792,41/30/29,130,,,2573,,102.92,,,,,,,,,
,2020-07-29,W,175.2,,,,,,8876,,355.04,,,,,,,,,
,2020-07-30,Th,176.6,1632,33/34/33,143,,,6852,,274.08,,,,,,,,,
,2020-07-31,F,176,2215,39/32/29,176,,Jump Rope (1161 cal),5621,1161,224.84,,,,,,,,,
,2020-08-01,Sa,174.2,,,,,,5170,,206.8,,,,,,,,,
,2020-08-02,Su,175.6,2017,44/32/23,124,"BSquat, SPress, BBrow",,4785,,191.4,,,,,,,,,
11,2020-08-03,M,176.4,1833,40/37/23,101,,,5054,,202.16,took it easy due to back pain from back squat,,,,,,,,
,2020-08-04,Tu,175.6,1925,40/29/31,147,"Chin-ups, Weighted RPushup",,6198,,247.92,,,,,,,,,
,2020-08-05,W,175.6,1964,37/35/28,138,,,4061,,162.44,,,,,,,,,
,2020-08-06,Th,175.6,1917,40/29/31,154,SwissBar Bench,Jump Rope (291 cal),5222,291,208.88,,,,,,,,,
,2020-08-07,F,176.6,2124,37/32/31,166,,,7975,,319,,,,,,,,,
,2020-08-08,Sa,175.6,,,,,Jump Rope (589 cal),4383,589,175.32,,,,,,,,,
,2020-08-09,Su,,1863,42/31/27,121,"Chin-ups, SwissBar Bench",Jump Rope (584 cal),6063,584,242.52,,,,,,,,,
12,2020-08-10,M,175.8,2081,33/38/29,156,"FSquat, SwissBar Press, BBrow",,6559,,262.36,Started Wk 1 of new cycle,,,,,,,,
,2020-08-11,Tu,175.2,1947,31/35/34,173,"Chin-ups, Weighted RPushup",Jump Rope (448 cal),3941,448,157.64,,,,,,,,,
,2020-08-12,W,,1756,38/37/25,112,"C&J, Clean, Face pull, TBarDL",,6171,,246.84,,,,,,,,,
,2020-08-13,Th,174.8,1988,39/32/29,147,"Chin-ups, SwissBar Bench",,6351,,254.04,,,,,,,,,
,2020-08-14,F,174.8,2481,41/38/21,133,,Jump Rope (780 cal),5795,780,231.8,,,,,,,,,
,2020-08-15,Sa,175,,,,"FSquat, SwissBar Press, BBrow",,5685,,227.4,,,,,,,,,
,2020-08-16,Su,174.8,1728,40/36/24,104,"Chin-ups, Weighted RPushup",Jump Rope (387 cal),4121,387,164.84,,,,,,,,,
13,2020-08-17,M,175.4,1858,44/29/27,127,,,3316,,132.64,sat awkwardly during work on Tuesday and couldn't properly warm up for FSquat - felt low back pain for rest of week,,,,,,,,
,2020-08-18,Tu,174.2,2010,33/29/38,147,"FSquat, SwissBar Press, BBrow",,6027,,241.08,,,,,,,,,
,2020-08-19,W,174.2,1943,38/33/29,144,,,6177,,247.08,,,,,,,,,
,2020-08-20,Th,,1678,30/41/29,130,"Chin-ups, SwissBar Bench",Jump Rope (548 cal),6545,548,261.8,,,,,,,,,
,2020-08-21,F,175,1907,37/34/29,149,,,5681,,227.24,,,,,,,,,
,2020-08-22,Sa,174.6,2358,44/31/25,152,,Jump Rope (564 cal),5321,564,212.84,,,,,,,,,
,2020-08-23,Su,,,,,"Chin-ups, Weighted RPushup",Jump Rope (576 cal),5737,576,229.48,,,,,,,,,
14,2020-08-24,M,175,2093,33/38/29,154,"FSquat, SwissBar Press, BBrow",,6044,,241.76,busy with late nights due to work and couldn't really do much of program consistently,,,,,,,,
,2020-08-25,Tu,174.4,1958,33/36/31,151,,,6136,,245.44,,,,,,,,,
,2020-08-26,W,174.4,1628,33/29/38,159,"Chin-ups, Weighted RPushup",Jump Rope (553cal),6151,553,246.04,,,,,,,,,
,2020-08-27,Th,173.6,1703,46/20/34,149,,,5185,,207.4,,,,,,,,,
,2020-08-28,F,174,1918,34/32/34,179,,,1528,,61.12,,,,,,,,,
,2020-08-29,Sa,173.2,2214,49/29/22,122,,Jump Rope (556cal),10063,556,402.52,,,,,,,,,
,2020-08-30,Su,175.4,1926,47/24/29,140,"Chin-ups, SwissBar Bench",Jump Rope (563cal),11457,563,458.28,,,,,,,,,
15,2020-08-31,M,174.2,1961,32/35/33,161,,,6211,,248.44,,,,,,,,,
,2020-09-01,Tu,173.4,2036,36/39/25,130,,,5871,,234.84,,,,,,,,,
,2020-09-02,W,174.4,1872,39/33/28,133,"Chin-ups, Weighted RPushup",Jump Rope (332 cal),4078,332,163.12,,,,,,,,,
,2020-09-03,Th,174.4,2174,37/31/31,179,,,2025,,81,,,,,,,,,
,2020-09-04,F,,1787,36/32/32,151,"C&J, Clean, Face pull, RDL, TBarDL",,10061,,402.44,,,,,,,,,
,2020-09-05,Sa,174.6,,,,,,11550,,462,,,,,,,,,
,2020-09-06,Su,174.6,1672,36/23/41,175,,,9676,,387.04,,,,,,,,,
16,2020-09-07,M,172.4,1721,38/28/34,158,"FSquat, BB Hip thrust, BBrow",Jump Rope (339 cal),4265,339,170.6,,,,,,,,,
,2020-09-08,Tu,173,1653,36/26/38,174,"Chin-ups, Swiss Bar Bench",Jump Rope (341 cal),3123,341,124.92,,,,,,,,,
,2020-09-09,W,173,1925,30/35/34,173,"FSquat, SwissBar Press, BBrow",,2056,,82.24,,,,,,,,,
,2020-09-10,Th,173.6,1722,38/30/32,150,,,5030,,201.2,,,,,,,,,
,2020-09-11,F,172,1874,40/29/31,141,"C&J, Clean, Face pull, RDL, TBarDL",,6180,,247.2,,,,,,,,,
,2020-09-12,Sa,172,1777,36/31/33,154,,,9327,,373.08,,,,,,,,,
,2020-09-13,Su,173.6,1819,37/37/26,117,"FSquat, BB Hip thrust, BBrow",,10344,,413.76,,,,,,,,,
17,2020-09-14,M,,1827,49/28/23,114,,,4482,,179.28,,,,,,,,,
,2020-09-15,Tu,172.6,2227,35/28/37,212,"FSquat, SwissBar Press, BBrow",,4929,,197.16,,,,,,,,,
,2020-09-16,W,172.6,1895,38/28/34,161,"Chin-ups, SwissBar Bench",,3631,,145.24,,,,,,,,,
,2020-09-17,Th,172,1981,32/34/34,178,,,5917,,236.68,,,,,,,,,
,2020-09-18,F,173,1636,42/36/22,95,,,1309,,52.36,,,,,,,,,
,2020-09-19,Sa,172.4,2316,41/32/27,156,"C&J, Clean, Face pull, RDL, TBarDL",,9146,,365.84,,,,,,,,,
,2020-09-20,Su,,2427,52/20/28,119,,,11273,,450.92,,,,,,,,,
18,2020-09-21,M,,1938,35/34/31,158,"Chin-ups, SwissBar Bench",,3289,,131.56,,,,,,,,,
,2020-09-22,Tu,,2183,41/34/25,143,Dips,Jump Rope (763 cal),2623,763,104.92,,,,,,,,,
,2020-09-23,W,174.2,,,,,,4268,,170.72,,,,,,,,,
,2020-09-24,Th,174.2,1648,41/32/27,112,,,5938,,237.52,,,,,,,,,
